Scholarship_Name,Provider,Level,Eligible_Classes,Gender,Category,Income_Limit,Amount,Application_Link,Last_Date,Description,Official_Website,Source_URL
Fellowship - EWS (Central),UGC,Central,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - EWS (Central) - curated entry for EWS category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - EWS (Central),AICTE,Central,UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - EWS (Central) - curated entry for EWS category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - EWS (TN),Tamil Nadu Government,State,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - EWS (TN) - curated entry for EWS category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - EWS (TN),District Education Office,State,UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - EWS (TN) - curated entry for EWS category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - EWS (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - EWS (TN) - curated entry for EWS category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - EWS (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - EWS (TN) - curated entry for EWS category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - General (Central),National Scholarship Portal,Central,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - General (Central) - curated entry for General category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - General (Central),National Scholarship Portal,Central,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - General (Central) - curated entry for General category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - General (Central),Ministry of Education,Central,UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - General (Central) - curated entry for General category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - General (Central),Ministry of Social Justice,Central,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - General (Central) - curated entry for General category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - General (Central),UGC,Central,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Fellowship - General (Central) - curated entry for General category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - General (Central),AICTE,Central,UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - General (Central) - curated entry for General category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - General (TN),Tamil Nadu Government,State,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - General (TN) - curated entry for General category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - General (TN),District Education Office,State,UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - General (TN) - curated entry for General category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - General (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - General (TN) - curated entry for General category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - General (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,General,Varies,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - General (TN) - curated entry for General category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - Transgender (Central),National Scholarship Portal,Central,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - Transgender (Central) - curated entry for Transgender category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - Transgender (Central),National Scholarship Portal,Central,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - Transgender (Central) - curated entry for Transgender category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - Transgender (Central),Ministry of Education,Central,UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - Transgender (Central) - curated entry for Transgender category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - Transgender (Central),Ministry of Social Justice,Central,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - Transgender (Central) - curated entry for Transgender category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - Transgender (Central),UGC,Central,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Fellowship - Transgender (Central) - curated entry for Transgender category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - Transgender (Central),AICTE,Central,UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - Transgender (Central) - curated entry for Transgender category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - Transgender (TN),Tamil Nadu Government,State,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - Transgender (TN) - curated entry for Transgender category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - Transgender (TN),District Education Office,State,UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - Transgender (TN) - curated entry for Transgender category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - Transgender (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - Transgender (TN) - curated entry for Transgender category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - Transgender (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,Transgender,Varies,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - Transgender (TN) - curated entry for Transgender category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - Single Girl Child (Central),National Scholarship Portal,Central,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - Single Girl Child (Central) - curated entry for Single Girl Child category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - Single Girl Child (Central),National Scholarship Portal,Central,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - Single Girl Child (Central) - curated entry for Single Girl Child category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - Single Girl Child (Central),Ministry of Education,Central,UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - Single Girl Child (Central) - curated entry for Single Girl Child category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - Single Girl Child (Central),Ministry of Social Justice,Central,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - Single Girl Child (Central) - curated entry for Single Girl Child category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - Single Girl Child (Central),UGC,Central,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Fellowship - Single Girl Child (Central) - curated entry for Single Girl Child category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - Single Girl Child (Central),AICTE,Central,UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - Single Girl Child (Central) - curated entry for Single Girl Child category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - Single Girl Child (TN),Tamil Nadu Government,State,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - Single Girl Child (TN) - curated entry for Single Girl Child category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - Single Girl Child (TN),District Education Office,State,UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - Single Girl Child (TN) - curated entry for Single Girl Child category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - Single Girl Child (TN),Khelo India / TN Sports,Central/State,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - Single Girl Child (TN) - curated entry for Single Girl Child category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - Single Girl Child (TN),Minority Welfare Dept (TN),State,School/UG/PG,Female,Single Girl Child,Varies,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - Single Girl Child (TN) - curated entry for Single Girl Child category,Minority Welfare Dept (TN),https://scholarships.gov.in/
